"date","awnd"
2018-03-24,3.58
2018-03-25,9.84
2018-03-30,13.2
2018-03-31,5.82
2018-04-12,13.87
2018-04-16,14.76
2018-04-23,11.18
2018-04-25,3.8
2018-04-28,5.82
2018-05-05,7.83
2018-05-08,7.83
2018-05-11,4.03
2018-05-20,8.05
2018-05-21,4.7
2018-05-27,9.4
2018-05-28,6.26
2018-05-29,4.47
2018-05-30,5.59
2018-06-02,4.7
2018-06-03,4.92
2018-06-05,3.13
2018-06-06,5.14
2018-06-13,6.04
2018-06-28,4.92
2018-07-02,3.13
2018-07-04,5.37
2018-07-13,7.61
2018-07-22,5.59
2018-07-24,7.38
2018-07-26,4.92
2018-08-04,3.8
2018-08-16,2.91
2018-08-19,6.71
2018-08-24,4.7
2018-09-03,1.12
2018-09-05,4.03
2018-09-06,2.91
2018-09-07,2.68
2018-09-08,3.13
2018-09-09,5.37
2018-09-11,2.91
2018-09-15,15.88
2018-09-19,1.79
2018-09-22,4.47
2018-09-25,3.36
2018-09-30,4.03
2018-10-09,6.49
2018-10-14,3.58
2018-10-22,3.8
2018-10-23,4.7
2018-11-08,7.16
2018-11-09,5.37
2018-11-16,5.59
2018-11-20,5.82
2018-11-22,5.59
2018-11-28,6.71
2018-12-03,5.59
2018-12-08,4.7
2018-12-11,3.8
2018-12-12,1.34
2018-12-13,2.24
2018-12-23,5.14
2018-12-29,3.36
2019-01-05,9.62
2019-01-12,5.59
2019-01-14,3.58
2019-01-21,5.82
2019-01-22,3.8
2019-02-02,3.8
2019-02-09,6.04
2019-02-17,4.47
2019-02-25,7.83
2019-02-26,3.8
2019-03-01,7.38
2019-03-03,6.93
2019-03-09,5.82
2019-03-11,2.91
2019-03-18,4.47
2019-03-24,7.61
2019-04-06,3.8
2019-04-16,5.82
2019-04-21,3.13
2019-05-06,5.82
2019-05-13,3.58
2019-05-15,3.58
2019-05-26,5.82
2019-05-30,6.93
2019-06-02,5.59
2019-06-08,9.4
2019-06-16,11.41
2019-06-17,9.84
2019-06-19,7.61
2019-06-21,7.61
2019-07-02,3.36
2019-07-05,4.7
2019-07-08,4.7
2019-07-10,5.82
2019-07-22,12.08
2019-07-23,5.14
2019-07-29,4.92
2019-08-03,3.36
2019-08-07,6.49
2019-08-14,6.71
2019-08-20,7.61
2019-08-24,6.49
2019-08-25,6.49
2019-09-02,3.8
2019-09-06,7.61
2019-09-09,2.91
2019-09-16,3.8
2019-09-20,3.36
2019-09-26,6.04
2019-10-16,5.59
2019-10-19,3.13
2019-10-20,8.05
2019-10-29,3.58
2019-11-07,4.92
2019-11-15,6.71
2019-11-18,4.7
2019-11-20,2.91
2019-11-22,8.05
2019-11-25,2.24
2019-11-26,2.91
2019-12-07,6.04
2019-12-15,4.7
2019-12-20,3.36
2019-12-25,2.46
2019-12-29,8.72
2019-12-30,14.76
2020-01-02,7.16
2020-01-07,5.14
2020-01-08,6.04
2020-01-15,4.47
2020-01-17,6.93
2020-01-21,8.05
2020-01-22,6.26
2020-02-01,4.25
2020-02-05,8.95
2020-02-06,9.4
2020-02-10,8.05
2020-02-12,6.71
2020-02-25,7.38
2020-03-12,4.92
2020-03-18,5.82
2020-03-19,10.07
2020-03-23,5.82
2020-03-24,5.37
2020-03-31,9.62
2020-04-05,4.47
2020-04-08,6.71
2020-04-13,15.43
2020-04-15,7.61
2020-04-22,4.92
2020-04-25,8.28
2020-05-07,5.59
2020-05-08,11.41
2020-05-10,8.28
2020-05-13,1.57
2020-05-14,8.05
2020-05-15,10.51
2020-05-16,6.93
2020-05-18,8.28
2020-05-22,6.26
2020-05-25,5.59
2020-06-01,4.47
2020-06-09,6.04
2020-06-17,4.03
2020-06-18,5.14
2020-06-28,6.04
2020-06-30,3.8
2020-07-01,3.58
2020-07-06,5.37
2020-07-08,7.38
2020-07-09,7.38
2020-07-11,5.14
2020-07-14,2.91
2020-07-16,5.59
2020-07-28,5.82
2020-08-03,5.59
2020-08-04,8.28
2020-08-10,4.25
2020-08-15,3.8
2020-08-19,3.58
2020-08-21,4.25
2020-09-02,4.47
2020-09-03,8.05
2020-09-04,2.91
2020-09-18,9.62
2020-09-26,2.46
2020-11-01,6.71
2020-11-02,7.38
2020-11-05,0.89
2020-11-11,8.72
2020-11-20,4.03
2020-11-26,6.49
2020-11-30,13.42
2020-12-06,2.24
2020-12-10,2.91
2020-12-13,3.8
2020-12-24,10.51
2021-01-09,2.91
2021-01-10,0.67
2021-01-16,7.61
2021-01-27,5.37
2021-01-31,5.82
2021-02-06,2.01
2021-02-11,6.26
2021-02-14,8.05
2021-02-17,7.61
2021-02-22,7.16
2021-02-27,4.7
2021-02-28,4.03
2021-03-01,10.07
2021-03-07,4.03
2021-03-12,8.72
2021-03-14,4.03
2021-03-18,5.59
2021-03-20,10.51
2021-03-23,7.16
2021-03-25,5.82
2021-03-28,13.87
2021-04-02,5.82
2021-04-09,5.82
2021-04-14,7.16
2021-04-18,2.46
2021-04-20,7.38
2021-04-26,2.68
2021-05-04,9.4
2021-05-08,4.92
2021-05-17,3.13
2021-05-20,3.13
2021-05-21,6.71
2021-05-23,2.91
2021-06-03,6.26
2021-06-09,7.83
2021-06-13,4.92
2021-07-05,2.91
2021-07-08,8.05
2021-07-20,2.01
2021-07-24,6.71
2021-07-26,7.16
2021-08-01,4.03
2021-08-08,2.68
2021-08-16,3.58
2021-08-20,2.91
2021-08-24,2.46
2021-08-27,4.7
2021-08-30,4.92
2021-08-31,6.93
2021-09-10,3.13
2021-09-11,3.58
2021-09-13,4.03
2021-09-15,6.71
2021-09-16,4.03
2021-09-17,5.59
2021-09-25,2.01
2021-09-30,3.8
2021-10-01,2.68
2021-10-03,8.72
2021-10-09,6.71
2021-10-11,6.49
2021-10-26,6.93
2021-11-03,6.04
2021-11-07,7.83
